id,idx,name,nametype,recclass,mass,fall,year,reclat,reclong,impact,impact,impactName
1008,24054,Troup,Valid,L6,1020,Fell,1917,32.16667,-95.1,67416,376000,Troup
1009,24057,Trysil,Valid,L/LL6,640,Fell,1927,61.3,12.3,50308,28300000,Trysil
1010,24059,Tsukuba,Valid,H5-6,800,Fell,1996,36.06333,140.145,4658,1800000,Tsukuba
1011,24060,Tuan Tuc,Valid,L6,13100,Fell,1921,9.66667,105.66667,34398,382,Tuan Tuc
1012,24062,Tugalin-Bulen,Valid,H6,10000,Fell,1967,45.46667,105.38333,54652,440,Tugalin
1013,24071,Tulung Dzong,Valid,Stone-uncl,,Fell,1944,30,90.75,48724,365,Tulung Dzong
1014,47343,Turtle Lake,Valid,L5,89.3,Fell,1996,45.34583,-92.05167,63277,953000,Turtle Lake
1015,24086,Tuxtuac,Valid,LL5,30000,Fell,1975,21.66667,-103.36667,36991,1130,Tuxtuac
1016,24094,Tysnes Island,Valid,H4,19860,Fell,1884,60,5.61667,43164,539,Tysnes Island
1017,24095,Tyumen,Valid,Iron,750,Fell,1903,57.16667,65.53333,17675,1470000,Tyumen
1018,24096,Uberaba,Valid,H5,40000,Fell,1903,-19.81667,-48.78333,20354,304000,Uberaba
1019,24097,Ucera,Valid,H5,4590,Fell,1970,11.05,-69.85,37453,2080,Ucera
1020,24098,Uchkuduk,Valid,L6,1000,Fell,1989,41.76667,62.51667,7443,5710,Uchkuduk
1021,24099,Udaipur,Valid,H3,2000,Fell,1976,,,2223,418000,Udaipur
1022,24101,Udei Station,Valid,"Iron, IAB-ung",103000,Fell,1927,7.95,8.08333,87304,1680,Udei Station
1023,24103,Uden,Valid,LL7,710,Fell,1840,51.65,5.61667,4769,3260000,Uden
1024,24104,Udipi,Valid,H5,3600,Fell,1866,13.48333,74.78333,89507,36000,Udipi
1025,24106,Ufana,Valid,EL6,189.2,Fell,1957,-4.26667,35.35,60670,3800,Ufana
1026,24108,Ulmiz,Valid,L,76.5,Fell,1926,46.93333,7.21667,60098,1560,Ulmiz
1027,24112,Umbala,Valid,LL5,100,Fell,1822,30.33333,76.33333,17078,49300,Umbala
1028,24118,Umm Ruaba,Valid,L5,1700,Fell,1966,13.46667,31.21667,9126,340,Umm Ruaba
1029,24121,Undulung,Valid,L4,113.4,Fell,1986,66.13889,124.76667,88078,298,Undulung
1030,24123,Unkoku,Valid,OC,1000,Fell,1924,34.8,127,29118,449,Unkoku
1031,24129,Urasaki,Valid,Stone-uncl,1500,Fell,1926,34.48333,133.28333,53649,2410,Urasaki
1032,24132,Usti Nad Orlici,Valid,L6,1269,Fell,1963,49.975,16.375,70348,598000,Usti Nad Orlici
1033,24135,Utrecht,Valid,L6,9700,Fell,1843,52.11667,5.18333,1099,4430000,Utrecht
1034,24136,Utzenstorf,Valid,H5,3422,Fell,1928,47.11667,7.55,83410,10300,Utzenstorf
1035,24140,Uzcudun,Valid,L,20000,Fell,1948,-44.11667,-66.15,6786,17100,Uzcudun
1036,24143,Vago,Valid,H6,40,Fell,1668,45.41667,11.13333,34992,649000,Vago
1037,24144,Valdavur,Valid,H6,2799,Fell,1944,11.98333,79.75,71199,320,Valdavur
1038,24145,Valdinizza,Valid,L6,1004,Fell,1903,44.86667,9.15,91535,589,Valdinizza
1039,24146,Valdinoce,Valid,Stone-uncl,,Fell,1496,44.06667,12.1,30,526,Valdinoce
1040,24149,Valera,Valid,L5,50000,Fell,1972,9.31667,-70.62833,15879,3460000,Valera
1041,53633,Varre-Sai,Valid,L5,2500,Fell,2010,-20.85001,-41.73356,53499,65500,Varre
1042,24154,Vavilovka,Valid,LL6,1932,Fell,1876,46.15,32.83333,64476,924,Vavilovka
1043,24158,Vengerovo,Valid,H5,10800,Fell,1950,56.13333,77.26667,16612,691,Vengerovo
1044,24162,Veramin,Valid,Mesosiderite-B2,54000,Fell,1880,35.33333,51.63333,85307,1870,Veramin
1045,24165,Verkhne Tschirskaia,Valid,H5,8000,Fell,1843,48.41667,43.2,75887,349,Verkhne Tschirskaia
1046,24168,Vernon County,Valid,H6,1500,Fell,1865,43.5,-91.16667,21307,339000,Vernon County
1047,24169,Vetluga,Valid,Eucrite-mmict,750,Fell,1949,57.8,45.8,45318,5800,Vetluga
1048,24174,Vigarano,Valid,CV3,15000,Fell,1910,44.85,11.4,83227,8000,Vigarano
1049,24179,Villalbeto de la Peña,Valid,L6,3500,Fell,2004,42.8,-4.66667,49905,22300,Villalbeto de la Peña
1050,24181,Villarrica,Valid,Stone-uncl,,Fell,1925,-25.83333,-56.5,38270,319000,Villarrica
1051,24183,Vilna,Valid,L5,0.1,Fell,1967,54.225,-111.69167,18815,1030000,Vilna
1052,24185,Virba,Valid,L6,3600,Fell,1873,43.53333,22.63333,30777,883,Virba
1053,24187,Vishnupur,Valid,LL4-6,2437,Fell,1906,23.1,87.43333,77345,2220,Vishnupur
1054,24188,Vissannapeta,Valid,Eucrite-cm,1303.8,Fell,1997,16.83333,80.75,17432,645,Vissannapeta
1055,24189,Visuni,Valid,H6,594,Fell,1915,25.45,70,82647,479,Visuni
1056,24191,Vouillé,Valid,L6,20000,Fell,1831,46.63333,0.16667,77114,26900,Vouillé
1057,24210,Walters,Valid,L6,28100,Fell,1946,34.33333,-98.3,21651,4420000,Walters
1058,24215,Warrenton,Valid,CO3.7,1600,Fell,1877,38.68333,-91.15,19198,388000,Warrenton
1059,24218,Washougal,Valid,Howardite,225,Fell,1939,45.58333,-122.35,17653,569000,Washougal
1060,47344,Werdama,Valid,H5,4000,Fell,2006,32.79732,21.78713,72114,280,Werdama
1061,24244,Wessely,Valid,H5,3750,Fell,1831,48.95,17.38333,71893,234000,Wessely
1062,24249,Weston,Valid,H4,150000,Fell,1807,41.266667,-73.266667,72016,311000,Weston
1063,24250,Wethersfield (1971),Valid,L6,350,Fell,1971,41.7,-72.65,88604,597,Wethersfield (1971)
1064,24251,Wethersfield (1982),Valid,L6,2756,Fell,1982,41.71056,-72.67361,86989,585,Wethersfield (1982)
1065,49514,Whetstone Mountains,Valid,H5,2138.74,Fell,2009,31.96185,-110.434183,78114,4110,Whetstone Mountains
1066,24281,Wiluna,Valid,H5,150000,Fell,1967,-26.59278,120.32833,23090,33500,Wiluna
1067,24321,Witklip Farm,Valid,H5,22,Fell,1918,-26,30,5599,324,Witklip Farm
1068,24322,Witsand Farm,Valid,LL4,66,Fell,1932,-28.66667,18.91667,39623,331,Witsand Farm
1069,24323,Wittekrantz,Valid,L5,2200,Fell,1880,-32.5,23,31172,453,Wittekrantz
1070,24324,Wolamo,Valid,OC,166.4,Fell,1964,9,39,126,310,Wolamo
1071,24325,Wold Cottage,Valid,L6,25000,Fell,1795,54.13667,-0.41333,34730,4900,Wold Cottage
1072,24334,Woolgorong,Valid,L6,36000,Fell,1960,-27.75,115.83333,24778,928,Woolgorong
1073,24337,Worden,Valid,L5,1551,Fell,1997,42.38467,-83.6115,82623,251000,Worden
1074,24340,Wuan,Valid,H6,50000,Fell,1986,36.75,114.25,88811,13700,Wuan
1075,24342,Wuzhi,Valid,Stone-uncl,,Fell,1931,35.13333,113.33333,12244,17000,Wuzhi
1076,24345,Xi Ujimgin,Valid,L/LL6-an,5900,Fell,1980,44.66667,117.5,55438,417,Xi Ujimgin
1077,24346,Xingyang,Valid,H6,75500,Fell,1977,32.33333,114.31667,43802,91500,Xingyang
1078,24351,Yafa,Valid,H5,5700,Fell,2000,13.71111,45.17,94009,37600,Yafa
1079,30345,Yambo,Valid,H5,4,Fell,1951,1,22.5,96707,37000,Yambo
1080,30348,Yangchiang,Valid,H5,20000,Fell,1954,21.83333,111.83333,41618,369,Yangchiang
1081,30350,Yanzhuang,Valid,H6,3500,Fell,1990,24.56667,114.16667,19763,648,Yanzhuang
1082,30352,Yardymly,Valid,"Iron, IAB complex",150200,Fell,1959,38.93333,48.25,90908,6380,Yardymly
1083,30358,Yatoor,Valid,H5,13600,Fell,1852,14.3,79.76667,88762,593,Yatoor
1084,30366,Yonozu,Valid,H4/5,31650,Fell,1837,37.75,139,78085,465,Yonozu
1085,30370,Yorktown (New York),Valid,L5,250,Fell,1869,41.28333,-73.81667,49588,18400,Yorktown (New York)
1086,30372,Yoshiki,Valid,Stone-uncl,0.1,Fell,1928,34.16667,131.45,2442,1500000,Yoshiki
1087,30377,Yukan,Valid,LL6,4800,Fell,1931,28.71667,116.61667,41998,1480000,Yukan
1088,30378,Yurtuk,Valid,Howardite,1472,Fell,1936,47.31667,35.36667,5900,1580,Yurtuk
1089,30379,Zaborzika,Valid,L6,3867,Fell,1818,50.28333,27.68333,72578,549,Zaborzika
1090,30380,Zabrodje,Valid,L6,3000,Fell,1893,55.18333,27.91667,96072,582,Zabrodje
1091,30384,Zag,Valid,H3-6,175000,Fell,1998,27.33333,-9.33333,66863,497000,Zag
1092,30386,Zagami,Valid,Martian (shergottite),18000,Fell,1962,11.73333,7.08333,15622,34600,Zagami
1093,30388,Zaisan,Valid,H5,463,Fell,1963,47.5,83,76359,4350,Zaisan
1094,30389,Zaisho,Valid,"Pallasite, PMG-an",330,Fell,1898,33.7,133.8,43009,5540,Zaisho
1095,30391,Zaoyang,Valid,H5,14250,Fell,1984,32.3,112.75,1000,15200,Zaoyang
1096,30395,Zavetnoe,Valid,L6,800,Fell,1952,47.13333,43.9,63430,970,Zavetnoe
1097,30396,Zavid,Valid,L6,95000,Fell,1897,44.4,19.11667,60715,5650,Zavid
1098,30397,Zebrak,Valid,H5,2000,Fell,1824,49.88333,13.91667,75357,6120,Zebrak
1099,30399,Zemaitkiemis,Valid,L6,44100,Fell,1933,55.3,25,22910,439,Zemaitkiemis
1100,30404,Zhaodong,Valid,L4,42000,Fell,1984,45.81667,125.91667,42591,9940,Zhaodong
1101,30407,Zhovtnevyi,Valid,H6,107000,Fell,1938,47.58333,37.25,95116,2170,Zhovtnevyi
1102,30408,Zhuanghe,Valid,H5,2900,Fell,1976,39.66667,122.98333,1719,5610,Zhuanghe
1103,30411,Zmenj,Valid,Howardite,246,Fell,1858,51.83333,26.83333,61771,529,Zmenj
1104,30412,Zomba,Valid,L6,7500,Fell,1899,-15.18333,35.28333,17911,1060000,Zomba
1105,30413,Zsadany,Valid,H5,552,Fell,1875,46.93333,21.5,33372,735,Zsadany
1106,30415,Zvonkov,Valid,H6,2568,Fell,1955,50.2,30.25,42295,2860,Zvonkov
1107,4,Abajo,Valid,H5,331,Found,1982,26.8,-105.41667,74910,4080000,Abajo
1108,51399,Abar al' Uj,Valid,H3.8,194.34,Found,2008,22.72192,48.95937,73234,9,Abar al' Uj
1109,5,Abbott,Valid,H3-6,21100,Found,1951,36.3,-104.28333,74445,6820000,Abbott
1110,7,Abernathy,Valid,L6,2914,Found,1941,33.85,-101.8,15001,1550000,Abernathy
1111,8,Abo,Valid,H,1.2,Found,1840,60.43333,22.3,93078,3390000,Abo
1112,9,Abu Moharek,Valid,H4,4500,Found,1997,27.23944,29.83583,29218,563,Abu Moharek
1113,11,Acfer,Valid,L6,6700,Found,1989,27.5,3.61667,39520,22700,Acfer
1507,369,Achilles,Valid,H5,16000,Found,1924,39.77667,-100.81333,48726,5310000,Achilles
1508,55379,Ackerly,Valid,L5,3046,Found,1995,32.59033,-101.77217,72996,136000,Ackerly
1509,371,Acme,Valid,H5,75000,Found,1947,33.63333,-104.26667,82637,1620000,Acme
1510,372,Acomita,Valid,"Pallasite, PMG",3956,Found,1962,35.05,-107.56667,4401,4590,Acomita
1511,373,Acuña,Valid,"Iron, IIIAB",217700,Found,1981,29.31667,-100.96667,10372,648000,Acuña
1512,374,Adalia,Valid,Eucrite-mmict,1,Found,1883,36.9,30.68333,41129,158000,Adalia
1513,44856,Adam Talha,Valid,LL3.2,259.3,Found,2005,22.9935,-10.15367,87266,95,Adam Talha
1514,375,Adams County,Valid,H5,5700,Found,1928,39.96667,-103.76667,53411,143000,Adams County
1515,376,ad-Dahbubah,Valid,H5,90000,Found,1961,19.83333,51.25,60237,143,ad
1516,377,Adelaide,Valid,C2-ung,2031,Found,1972,,,61733,8080000,Adelaide
1517,378,Adelie Land,Valid,L5,1000,Found,1912,-67.18333,142.38333,30193,51000,Adelie Land
1518,380,Admire,Valid,"Pallasite, PMG",180000,Found,1881,38.7,-96.1,96414,366000,Admire
1519,381,Adrar,Valid,H4/5,1917,Found,1990,28.05,0.16667,91317,758000,Adrar
1522,384,Adrar Bous,Valid,EL5,360,Found,2001,20.5,9,61702,442,Adrar Bous
1523,44703,Adrar Chiriet,Valid,L6,926,Found,2003,19.64008,9.35545,36981,224,Adrar Chiriet
1524,385,Adrar Madet,Valid,H5/6,1113,Found,1997,18.5,10.4,68464,517,Adrar Madet
1526,387,Adrar Yaouelt,Valid,H5,2730,Found,2002,17.67987,10.03503,47766,93,Adrar Yaouelt
1527,388,Adrian,Valid,H4,22600,Found,1936,35.15,-102.71667,63956,13900000,Adrian
1528,389,Adzhi-Bogdo (iron),Valid,"Iron, IAB complex",582000,Found,1952,44.86667,95.41667,35002,85,Adzhi
1529,393,Aggie Creek,Valid,"Iron, IIIAB",43000,Found,1942,64.88333,-163.16667,19581,382,Aggie Creek
1530,57354,Agoudal,Valid,"Iron, IIAB",100000,Found,2000,31.98457,-5.51528,43179,1450,Agoudal
1531,395,Agoult,Valid,Eucrite,82,Found,2000,30.55,-4.9,49822,4030,Agoult
1532,397,Agua Blanca,Valid,"Iron, IIIAB",49000,Found,1938,-28.91667,-66.95,540,150000,Agua Blanca
1533,399,Aguas Calientes,Valid,H,260.1,Found,1971,-25.5,-68.4,44850,380000,Aguas Calientes
1534,400,Aguemour,Valid,H5,896,Found,1990,26.96667,4.45,61782,370,Aguemour
1551,419,Ahumada,Valid,"Pallasite, PMG",52600,Found,1909,30.7,-105.5,59963,452000,Ahumada
1552,421,Aiken,Valid,OC,956,Found,1936,34.2,-101.5,63739,1930000,Aiken
1553,422,Ainsworth,Valid,"Iron, IIAB",80650,Found,1907,42.6,-99.8,74543,2110000,Ainsworth
1554,428,Akhricha,Valid,H,1760,Found,1968,28.4625,1.025,80471,107,Akhricha
1555,429,Akmolla,Valid,H4,114,Found,1988,39.53833,59.55833,67610,172,Akmolla
1556,430,Akron (1940),Valid,H6,1050,Found,1940,40.15,-103.16667,87582,152,Akron (1940)
1557,431,Akron (1961),Valid,L6,4000,Found,1961,40.15,-103.16667,48799,185,Akron (1961)
1558,35484,Al Alamayn,Valid,H5,13.31,Found,2005,30.70952,28.9698,59604,38000,Al Alamayn
1559,44857,Al Haggounia,Valid,Aubrite,3e+06,Found,2006,27.5,-12.5,79874,3890,Al Haggounia
1560,434,Al Huqf,Valid,L4,41.5,Found,2000,19.42,57.18833,26578,409,Al Huqf
1592,55403,Al Huwaysah,Valid,LL6,3150.5,Found,2009,22.80487,55.32742,48102,729,Al Huwaysah
1609,49713,Alaer,Valid,LL5,1.7,Found,2007,40.33333,81.25,35200,5450,Alaer
1611,449,Alamogordo,Valid,H5,13600,Found,1938,32.9,-105.93333,46841,731000,Alamogordo
1612,450,Alamosa,Valid,L6,1800,Found,1937,37.46667,-105.86667,37048,827000,Alamosa
1613,452,Alatage,Valid,"Iron, IIIAB",37500,Found,1959,42.33333,93,98117,382,Alatage
1614,455,Albin (pallasite),Valid,"Pallasite, PMG",37600,Found,1915,41.5,-104.1,33294,1010,Albin (pallasite)
1615,456,Albin (stone),Valid,L,15400,Found,1949,41.41667,-104.1,35684,110,Albin (stone)
1616,457,Albion,Valid,"Iron, IVA",12280,Found,1966,46.83333,-117.25,2336,3400000,Albion
1617,459,Aldama (a),Valid,"Iron, IIIAB",11000,Found,1985,28.83333,-105.86667,93330,360,Aldama (a)
1618,460,Aldama (b),Valid,H5,66.5,Found,1996,25.05,-106,70517,789,Aldama (b)
1619,464,Alexander County,Valid,"Iron, IAB complex",192,Found,1875,35.75,-81.25,51346,40200,Alexander County
1620,467,Algarrobo,Valid,"Iron, IAB-ung",1280,Found,1959,-27.08333,-70.58333,23722,619000,Algarrobo
1621,468,al-Ghanim (iron),Valid,"Iron, IIIAB",500,Found,1960,19.83333,54.08333,83266,81,al
1622,469,al-Ghanim (stone),Valid,L6,3755,Found,1960,19.7,53.96667,85179,129,al
1623,470,Algoma,Valid,"Iron, IAB-sHL",4100,Found,1887,44.65,-87.46667,38407,2350000,Algoma
1624,471,Alikatnima,Valid,"Iron, ungrouped",20000,Found,1931,-23.33333,134.11667,58981,112,Alikatnima
1625,472,Aliskerovo,Valid,"Iron, IIIE-an",58400,Found,1977,67.88333,167.5,52171,989,Aliskerovo
1626,473,al-Jimshan,Valid,H4,11450,Found,1955,20.7,52.83333,97907,109,al
1627,474,Alkali,Valid,H6,30.47,Found,1998,37.86667,-117.4,59450,2820000,Alkali
1628,55662,Alkali Flat,Valid,L5,28,Found,2011,32.306,-108.9038,7742,7710,Alkali Flat
1629,475,Alkhamasin,Valid,"Iron, IIAB",1.2e+06,Found,1973,20.6,44.88333,89654,127,Alkhamasin
1630,35731,Allan Hills,Valid,H5,1053.5,Found,2003,,,80031,38100,Allan Hills
3384,2277,Allen,Valid,H4,1407,Found,1923,33.1,-96.7,20785,1990000,Allen
3385,2280,Allred,Valid,L4,6570,Found,1978,33.1,-102.95,96762,2240000,Allred
3386,2281,Almelo Township,Valid,L5,3180,Found,1949,39.6,-100.11667,90117,126,Almelo Township
3387,2282,Alnif,Valid,H5,8000,Found,1992,30.66667,-5.16667,55630,11300,Alnif
3388,2283,Alt Bela,Valid,"Iron, IID",4000,Found,1898,49.76667,18.25,2017,269,Alt Bela
3389,2286,Altonah,Valid,"Iron, IVA",21500,Found,1932,40.56667,-110.48333,87824,2570,Altonah
3390,2287,Alvord,Valid,"Iron, IVA",17500,Found,1976,43.32222,-96.28889,77750,397000,Alvord
3391,2289,Amadror,Valid,H4-5,239,Found,1991,24.94778,6.94306,22171,120,Amadror
3392,2291,Amber,Valid,L6,4532,Found,1934,35.16667,-97.88333,43626,1640000,Amber
3393,2292,Ameca-Ameca,Valid,Iron,1.2,Found,1889,20.58333,-104.06667,78259,152,Ameca
3394,2293,Amherst,Valid,L6,8500,Found,1947,40.8,-99.2,80738,5190000,Amherst
3395,2297,Andryushki,Valid,L6,26.6,Found,1898,49.65,29.63333,6241,118,Andryushki
3396,2300,Angelica,Valid,"Iron, IIIAB",14800,Found,1916,44.25,-88.25,1149,4680000,Angelica
3397,2306,Annaheim,Valid,"Iron, IAB-sLL",13500,Found,1916,52.33333,-104.86667,57772,18600,Annaheim
3398,2307,Anoka,Valid,"Iron, IAB-sLM",1108,Found,1961,45.2,-93.43333,38016,649000,Anoka
3399,45975,Anoual,Valid,Lunar,5.92,Found,2006,32.73458,-2.95797,69209,2830,Anoual
3400,2308,Anson,Valid,L6,3900,Found,1972,39.33333,-97.56167,24366,5840000,Anson
3401,2309,Answer,Valid,Iron,11090,Found,1970,-21.65972,140.90694,98849,2840000,Answer
3402,57455,Antelope,Valid,H4,754,Found,2012,40.90183,-118.54465,48158,5340000,Antelope
3403,2310,Anthony,Valid,H5,20000,Found,1919,37.08333,-98.05,10322,24300000,Anthony
3404,56391,Anthony Gap,Valid,L6,347.36,Found,2011,32.00584,-106.56028,70476,244,Anthony Gap
3405,2311,Anton,Valid,H4,41800,Found,1965,33.7825,-102.18111,96286,12500000,Anton
3406,2312,Anyujskij,Valid,"Iron, IIAB",100000,Found,1981,66.9,164.2,46491,97,Anyujskij
3407,2314,Aoufous,Valid,Eucrite-mmict,195,Found,2000,31.66667,-4.06667,20217,1800,Aoufous
3408,54566,Apache Junction,Valid,"Iron, IIIAB",25000,Found,before 2005,33.45,-111.51667,29100,1400000,Apache Junction
3409,2315,Apex,Valid,L6,6.1,Found,1938,39.75,-105.2,7113,430000,Apex
3410,2317,Apoala,Valid,"Iron, IIIAB",85000,Found,1889,17.7,-97,21533,1010,Apoala
3411,2319,Aprel'sky,Valid,"Iron, IIIAB",54600,Found,1969,53.3,126.11667,66681,97,Aprel'sky
3412,2321,Arabella,Valid,Iron,1000,Found,1955,,,48951,3210000,Arabella
3413,44870,Arabian Peninsula,Valid,Diogenite,145,Found,2006,,,21104,164000,Arabian Peninsula
3419,2323,Arapahoe,Valid,L5,19083,Found,1940,38.8,-102.2,1572,1400000,Arapahoe
3420,45408,Ararki,Valid,L5,4460,Found,2001,29.06,74.44,78365,276,Ararki
3421,2324,Araslanovo,Valid,L/LL5,132000,Found,1973,55.14167,48.2,34722,3140,Araslanovo
3422,2326,Arcadia,Valid,LL6,19400,Found,1937,41.41667,-99.1,86269,5260000,Arcadia
3423,2327,Arch,Valid,CV3,985.8,Found,1972,34.15,-103.22,39863,433000,Arch
3424,2328,Arches,Valid,L5,534,Found,2001,38.68867,-109.58517,7871,4530000,Arches
3425,2330,Areshima,Valid,LL3.7,114.3,Found,1999,18.21233,10.17767,30876,83,Areshima
3426,2331,Argonia,Valid,"Pallasite, PMG-an",84,Found,1940,37.26667,-97.76667,30881,27200,Argonia
3427,2332,Arispe,Valid,"Iron, IC",683000,Found,1896,30.33333,-109.98333,76710,26400,Arispe
3428,47346,Arivaca,Valid,Eucrite-mmict,30.1,Found,1999,31.59391,-111.37023,97476,954000,Arivaca
3429,2333,Arlington,Valid,"Iron, IIE-an",8940,Found,1894,44.6,-94.1,68602,9180000,Arlington
3430,30441,Arlit,Valid,H5,20.1,Found,2002,18.673,7.34225,29813,26800,Arlit
3431,2334,Arltunga,Valid,"Iron, IID-an",18100,Found,1908,-23.33333,134.66667,13797,20100,Arltunga
3432,2335,Armanty,Valid,"Iron, IIIE",2.8e+07,Found,1898,47,88,32640,4520,Armanty
3433,2336,Armel,Valid,L5,9200,Found,1967,39.76667,-102.13333,57600,322000,Armel
3434,2337,Arrabury,Valid,H6,5300,Found,1960,-26.5,141.08333,65798,8490,Arrabury
3435,2338,ar-Rakhbah,Valid,Iron,462,Found,1955,20.6,52.5,8133,69,ar
3436,2339,Arriba,Valid,L5,31100,Found,1936,39.3,-103.25,26904,4900000,Arriba
3437,2341,Artracoona,Valid,L6,20810,Found,1914,-29.06667,139.91667,80988,1220,Artracoona
3438,2343,Asab,Valid,H5,1530,Found,1999,-25.43333,17.91667,27371,967000,Asab
3439,2344,Asarco Mexicana,Valid,"Iron, IIIAB",,Found,,,,56637,79,Asarco Mexicana
3440,2347,Asheville,Valid,"Iron, IIIAB",800,Found,1839,35.58333,-82.53333,49627,3290000,Asheville
3441,2348,Ashfork,Valid,"Iron, IAB-MG",27000,Found,1901,35.25,-112.5,25964,6350,Ashfork
3442,2349,Ashmore,Valid,H5,55400,Found,1969,32.9,-102.28333,10043,3130000,Ashmore
3443,2350,ash-Shalfah,Valid,L4,935,Found,1961,21.875,49.71944,26956,97,ash
3444,51563,Ashuwairif,Valid,H4,14566,Found,2008,29.35944,14.25528,36496,10,Ashuwairif
3449,2351,Assam,Valid,L5,2700,Found,1846,26,92,78238,13700000,Assam
3450,53892,Assamakka,Valid,"Iron, IVA-an",4400,Found,2002,19.26667,5.91667,88394,118,Assamakka
3451,2352,as-Sanam,Valid,Stone-uncl,,Found,1954,22.75,51.16667,47924,309,as
3452,2354,as-Su'aydan,Valid,L5,5855,Found,1960,21.25417,55.305,97168,96,as
3453,2355,Asuka,Valid,H6,46.42,Found,1986,-72.83333,24.5,21368,283000,Asuka
4962,4882,Aswan,Valid,"Iron, IAB-ung",12000,Found,1955,23.98611,32.62361,3815,3570000,Aswan
4963,4886,Atlanta,Valid,EL6,5500,Found,1938,31.8,-92.75,72516,1340000,Atlanta
4964,4890,Attica,Valid,H4,5622,Found,1996,37.25,-98.13333,66249,3920000,Attica
4965,4891,Atwood,Valid,L6,2100,Found,1963,40.51667,-103.26667,28212,1710000,Atwood
4966,4892,Atwood (b),Valid,OC,77,Found,1964,40.51667,-103.26667,13309,753,Atwood (b)
4967,56393,Aubrey Hills,Valid,H6,560.8,Found,2010,34.38063,-114.16705,86508,2190,Aubrey Hills
4968,4894,Auburn,Valid,"Iron, IIG",3630,Found,1867,32.63333,-85.5,32345,12900000,Auburn
4969,4897,Augusta County,Valid,"Iron, IIIAB",76000,Found,1858,38.16667,-79.08333,33843,97200,Augusta County
4970,4898,Augustinovka,Valid,"Iron, IIIAB",400000,Found,1890,48.06667,35.08333,92269,396,Augustinovka
4971,4901,Aurora,Valid,H4,1000,Found,1938,36.33333,-105.05,21952,1200000,Aurora
4972,4902,Aus,Valid,L,30.2,Found,,-26.66667,16.25,16258,1290000,Aus
4973,4909,Avoca (Western Australia),Valid,"Iron, IIIAB",37850,Found,1966,-30.85,122.31667,4734,79,Avoca (Western Australia)
4974,4911,Axtell,Valid,CV3,6200,Found,1943,31.66,-96.97167,91140,373000,Axtell
4975,4912,Aybut,Valid,H6,442.26,Found,2002,17.75793,53.99032,52989,360,Aybut
4976,4914,Baandee,Valid,H6,256.3,Found,1967,-31.61667,118.03333,14566,667,Baandee
4977,4915,Babb's Mill (Blake's Iron),Valid,"Iron, ungrouped",136000,Found,1876,36.3,-82.88333,68498,327,Babb's Mill (Blake's Iron)
4978,4916,Babb's Mill (Troost's Iron),Valid,"Iron, ungrouped",6400,Found,1842,36.3,-82.88333,24633,551,Babb's Mill (Troost's Iron)
4979,4918,Bacqueville,Valid,H6,395,Found,1999,49.32222,1.36556,26863,11700,Bacqueville
4980,4919,Bacubirito,Valid,"Iron, ungrouped",2.2e+07,Found,1863,26.2,-107.83333,83973,3540,Bacubirito
4981,4920,Bagdad,Valid,"Iron, IIIAB",2200,Found,1959,34.613317,-113.398967,16506,4090000,Bagdad
4982,4921,Bagnone,Valid,"Iron, IIIAB",48000,Found,1904,44.31667,9.98333,22623,5080,Bagnone
4983,4923,Bakhardok,Valid,L6,4120,Found,1978,38.6,58,21559,205,Bakhardok
4984,4924,Bald Eagle,Valid,"Iron, IIIAB",3200,Found,1891,41.28333,-77.05,89240,5650000,Bald Eagle
4985,4927,Balfour Downs,Valid,"Iron, IAB-sLL",2400,Found,1962,-22.75,120.83333,65026,865,Balfour Downs
4986,4929,Ballarat,Valid,"Iron, IAB complex",15,Found,1867,-37.57083,143.82533,87560,1730000,Ballarat
4987,4930,Ballinger,Valid,"Iron, IAB-MG",1250,Found,1927,31.76667,-99.98333,43785,941000,Ballinger
4988,4931,Ballinoo,Valid,"Iron, IIC",42200,Found,1892,-27.7,115.76667,96260,618,Ballinoo
4989,4932,Balsas,Valid,"Iron, IIIAB",41000,Found,1974,-7.53133,-46.04117,2309,560000,Balsas
4990,48651,Ban Cho Lae,Valid,H5,3354,Found,1975,19.08833,99.01389,80450,5060,Ban Cho Lae
4991,4939,Baquedano,Valid,"Iron, IIIAB",22000,Found,1932,-23.3,-69.88333,85002,163000,Baquedano
4992,4940,Barbacena,Valid,"Iron, ungrouped",9026,Found,1918,-21.21667,-43.93333,96296,191000,Barbacena
4993,4941,Barbianello,Valid,"Iron, ungrouped",860,Found,1960,45.05778,9.19556,3889,4920,Barbianello
4994,4945,Barcis,Valid,"Pallasite, PMG",87,Found,1950,46.1,12.35,73586,5380,Barcis
4995,4950,Barranca Blanca,Valid,"Iron, IIE-an",12000,Found,1855,-28.08333,-69.33333,18794,383,Barranca Blanca
4996,4951,Barratta,Valid,L4,200000,Found,1845,-35.3,144.56667,15419,16700,Barratta
4997,4952,Barrilla,Valid,H5,11100,Found,1994,30.78333,-103.46667,38247,1590,Barrilla
4998,4953,Bartlett,Valid,"Iron, IIIAB",8590,Found,1938,30.83333,-97.5,60673,4680000,Bartlett
4999,44704,Baruun Urt,Valid,H5,25.9,Found,2002,46.7,113.28333,1571,8790,Baruun Urt
5000,4955,Barwise,Valid,H5,10400,Found,1950,34,-101.5,96368,199000,Barwise
5001,4958,Bates Nunataks,Valid,Eucrite-unbr,124.6,Found,2000,-80.25,153.5,12015,394,Bates Nunataks
