id,idx,name,nametype,recclass,mass,fall,year,reclat,reclong,impact
34,2295,Andover,Valid,L6,3200,Fell,1898,44.61667,-70.75,43034
35,2296,Andreevka,Valid,L3,600,Fell,1969,48.7,37.5,74193
36,2298,Andura,Valid,H6,17900,Fell,1939,20.88333,76.86667,40842
37,2301,Angers,Valid,L6,,Fell,1822,47.46667,-0.55,440
38,2302,Angra dos Reis (stone),Valid,Angrite,1500,Fell,1869,-22.96667,-44.31667,88164
39,2304,Ankober,Valid,H4,6500,Fell,1942,9.53333,39.71667,50845
40,2305,Anlong,Valid,H5,2500,Fell,1971,25.15,105.18333,52927
41,2313,Aomori,Valid,L6,320,Fell,1984,40.81056,140.78556,95011
42,2318,Appley Bridge,Valid,LL6,15000,Fell,1914,53.58333,-2.71667,97068
43,2320,Apt,Valid,L6,3200,Fell,1803,43.86667,5.38333,36081
44,2325,Arbol Solo,Valid,H5,810,Fell,1954,-33,-66,48631
45,2329,Archie,Valid,H6,5070,Fell,1932,38.5,-94.3,29389
46,2340,Arroyo Aguiar,Valid,H5,7450,Fell,1950,-31.41667,-60.66667,70863
47,2345,Asco,Valid,H6,41,Fell,1805,42.45,9.03333,90699
48,48954,Ash Creek,Valid,L6,9500,Fell,2009,31.805,-97.01,55243
49,2346,Ashdon,Valid,L6,1300,Fell,1923,52.05,0.3,68844
50,2353,Assisi,Valid,H5,2000,Fell,1886,43.03333,12.55,51339
51,4883,Atarra,Valid,L4,1280,Fell,1920,25.25417,80.625,90821
52,4884,Atemajac,Valid,L6,94.2,Fell,1896,20.06667,-103.66667,3715
53,4885,Athens,Valid,LL6,265,Fell,1933,34.75,-87,9817
54,4888,Atoka,Valid,L6,1384.2,Fell,1945,34.31667,-96.15,63868
55,4893,Aubres,Valid,Aubrite,800,Fell,1836,44.38333,5.16667,37538
56,4899,Aumale,Valid,L6,50000,Fell,1865,36.16667,3.66667,39167
57,4900,Aumieres,Valid,L6,2000,Fell,1842,44.33333,3.23333,24156
58,4903,Ausson,Valid,L5,50000,Fell,1858,43.08333,0.58333,21791
59,4905,Avanhandava,Valid,H4,9330,Fell,1952,-21.46028,-49.95083,34757
60,4906,Avce,Valid,"Iron, IIAB",1230,Fell,1908,46,13.5,9377
61,4907,Avilez,Valid,H,146,Fell,1855,25,-103.5,86631
62,4910,Awere,Valid,L4,134,Fell,1968,2.71667,32.83333,96689
63,4913,Aztec,Valid,L6,2830,Fell,1938,36.8,-108,91029
64,4917,Bachmut,Valid,L6,18000,Fell,1814,48.6,38,98979
65,4922,Bahjoi,Valid,"Iron, IAB-sLL",10322,Fell,1934,28.48333,78.5,57662
66,4925,Bald Mountain,Valid,L4,3700,Fell,1929,35.96667,-82.48333,22911
67,4926,Baldwyn,Valid,L6,345,Fell,1922,34.5,-88.66667,44627
68,4928,Bali,Valid,CV3,1000,Fell,1907,5.38333,16.38333,90220
69,4934,Ban Rong Du,Valid,"Iron, ungrouped",16700,Fell,1993,16.66667,101.18333,99830
70,4935,Bandong,Valid,LL6,11500,Fell,1871,-6.91667,107.6,67010
71,4936,Bansur,Valid,L6,15000,Fell,1892,27.7,76.33333,93379
72,4937,Banswal,Valid,L5,14,Fell,1913,30.4,78.2,59874
73,4938,Banten,Valid,CM2,629,Fell,1933,-6.33333,106,64749
74,4942,Barbotan,Valid,H5,6400,Fell,1790,43.95,-0.05,88422
75,4944,Barcelona (stone),Valid,OC,,Fell,1704,41.36667,2.16667,46051
76,4946,Barea,Valid,Mesosiderite-A1,3200,Fell,1842,42.38333,-2.5,94868
77,4947,Barnaul,Valid,H5,23.2,Fell,1904,52.73333,84.08333,50885
78,4948,Barntrup,Valid,LL4,17,Fell,1886,52,9.1,3062
79,4949,Baroti,Valid,L6,4500,Fell,1910,31.61667,76.8,55637
80,4954,Barwell,Valid,L5,44000,Fell,1965,52.56528,-1.33972,21714
81,44876,Bassikounou,Valid,H5,29560,Fell,2006,15.78333,-5.9,49417
82,4957,Baszkówka,Valid,L5,15500,Fell,1994,52.03333,20.93583,89368
83,4974,Bath,Valid,H4,21000,Fell,1892,45.41667,-98.31667,63709
84,4975,Bath Furnace,Valid,L6,86000,Fell,1902,38.25,-83.75,25097
85,56133,Battle Mountain,Valid,L6,2900,Fell,2012,40.66813,-117.18913,27974
86,4976,Bawku,Valid,LL5,1557,Fell,1989,11.08333,-0.18333,45211
87,4977,Baxter,Valid,L6,611,Fell,1916,36.75,-93.5,12410
88,4984,Beardsley,Valid,H5,16000,Fell,1929,39.8,-101.2,33666
89,4986,Beaver Creek,Valid,H5,14000,Fell,1893,51.16667,-117.33333,63884
90,4993,Beddgelert,Valid,H5,794,Fell,1949,53.01667,-4.1,71803
91,5005,Bells,Valid,C2-ung,375,Fell,1961,33.6,-96.46667,96779
92,5009,Belville,Valid,OC,,Fell,1937,-32.33333,-64.86667,38931
93,5011,Benares (a),Valid,LL4,3700,Fell,1798,25.36667,82.91667,77079
94,30443,Benguerir,Valid,LL6,25000,Fell,2004,32.25,-8.15,47255
